Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2022-01-03,58.81999969482422,59.310001373291016,58.380001068115234,59.29999923706055,56.72555923461914,20187300,KO
2022-01-04,59.72999954223633,60.540000915527344,59.59000015258789,60.290000915527344,57.67257308959961,26141600,KO
2022-01-05,60.09000015258789,61.20000076293945,60.04999923706055,60.790000915527344,58.15087127685547,22507300,KO
2022-01-06,60.470001220703125,61.119998931884766,60.439998626708984,60.470001220703125,57.844764709472656,17902300,KO
2022-01-07,60.279998779296875,60.720001220703125,60.060001373291016,60.33000183105469,57.710845947265625,12307900,KO
2022-01-10,60.54999923706055,60.81999969482422,60.18000030517578,60.43000030517578,57.80650329589844,20954300,KO
2022-01-11,60.43000030517578,60.4900016784668,59.84000015258789,60.45000076293945,57.82563018798828,19369600,KO
2022-01-12,60.529998779296875,60.689998626708984,60.189998626708984,60.540000915527344,57.91172790527344,15753800,KO
2022-01-13,60.540000915527344,61.040000915527344,60.38999938964844,60.900001525878906,58.25609588623047,14318000,KO
2022-01-14,60.939998626708984,61.45000076293945,60.36000061035156,61.38999938964844,58.724822998046875,19729600,KO
2022-01-18,61.060001373291016,61.189998626708984,60.45000076293945,60.900001525878906,58.25609588623047,21976700,KO
2022-01-19,60.65999984741211,61.18000030517578,60.560001373291016,61.0,58.35175323486328,18654700,KO
2022-01-20,61.0,61.439998626708984,60.720001220703125,60.75,58.11260986328125,23002400,KO
2022-01-21,61.08000183105469,61.29999923706055,60.400001525878906,60.45000076293945,57.82563018798828,26643200,KO
2022-01-24,59.900001525878906,60.349998474121094,58.56999969482422,59.959999084472656,57.356903076171875,30185100,KO
2022-01-25,59.36000061035156,60.04999923706055,58.689998626708984,59.81999969482422,57.222984313964844,19027100,KO
2022-01-26,59.790000915527344,60.349998474121094,59.209999084472656,59.599998474121094,57.01253128051758,19190200,KO
2022-01-27,59.880001068115234,60.93000030517578,59.5,59.650001525878906,57.060367584228516,18893800,KO
2022-01-28,59.38999938964844,60.88999938964844,58.939998626708984,60.84000015258789,58.19870376586914,19101500,KO
2022-01-31,60.29999923706055,61.13999938964844,60.150001525878906,61.0099983215332,58.3613166809082,22045300,KO
2022-02-01,60.90999984741211,61.13999938964844,60.15999984741211,60.560001373291016,57.93085861206055,20841700,KO
2022-02-02,60.619998931884766,61.27000045776367,60.560001373291016,61.18000030517578,58.52394104003906,20225600,KO
2022-02-03,60.939998626708984,61.779998779296875,60.59000015258789,61.61000061035156,58.93527603149414,19440500,KO
2022-02-04,61.4900016784668,61.68000030517578,60.56999969482422,60.959999084472656,58.3134880065918,17403700,KO
2022-02-07,61.380001068115234,61.720001220703125,60.86000061035156,61.599998474121094,58.92570495605469,17846400,KO
2022-02-08,61.83000183105469,62.33000183105469,61.7400016784668,62.0,59.30834197998047,18771700,KO
2022-02-09,62.16999816894531,62.31999969482422,60.900001525878906,61.040000915527344,58.39002227783203,23595600,KO
2022-02-10,60.36000061035156,62.29999923706055,60.20000076293945,61.380001068115234,58.71525955200195,23561500,KO
2022-02-11,61.77000045776367,61.97999954223633,60.150001525878906,60.290000915527344,57.67257308959961,22781400,KO
2022-02-14,60.15999984741211,60.790000915527344,59.279998779296875,60.68000030517578,58.04564666748047,23641300,KO
2022-02-15,60.959999084472656,61.779998779296875,60.630001068115234,60.90999984741211,58.26565933227539,13408700,KO
2022-02-16,60.86000061035156,61.400001525878906,60.560001373291016,60.900001525878906,58.25609588623047,15484700,KO
2022-02-17,60.54999923706055,62.279998779296875,60.40999984741211,62.119998931884766,59.42313003540039,21468700,KO
2022-02-18,62.119998931884766,62.81999969482422,61.9900016784668,62.540000915527344,59.824893951416016,21975000,KO
2022-02-22,62.43000030517578,62.63999938964844,61.720001220703125,62.279998779296875,59.57618713378906,21731400,KO
2022-02-23,62.2400016784668,62.33000183105469,61.34000015258789,61.59000015258789,58.916141510009766,19248500,KO
2022-02-24,59.970001220703125,60.619998931884766,59.220001220703125,60.5099983215332,57.883026123046875,27207400,KO
2022-02-25,60.939998626708984,62.900001525878906,60.91999816894531,62.849998474121094,60.12144088745117,21487800,KO
2022-02-28,61.650001525878906,62.34000015258789,61.40999984741211,62.2400016784668,59.53792190551758,25879100,KO
2022-03-01,62.13999938964844,62.75,61.5099983215332,61.970001220703125,59.27964782714844,15871100,KO
2022-03-02,62.22999954223633,62.880001068115234,61.779998779296875,62.43000030517578,59.71967697143555,17319100,KO
2022-03-03,62.61000061035156,63.02000045776367,62.290000915527344,62.470001220703125,59.757938385009766,21262800,KO
2022-03-04,61.459999084472656,62.59000015258789,61.20000076293945,62.56999969482422,59.853599548339844,17163000,KO
2022-03-07,62.0099983215332,62.06999969482422,60.720001220703125,61.08000183105469,58.428287506103516,29151400,KO
